airport_seq_id,airport_id
1062002,10620
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1389101,13891
1451202,14512
1473003,14730
1486903,14869
1014003,10140
1141304,11413
1171102,11711
1129202,11292
1150303,11503
1254403,12544
1039705,10397
1129202,11292
1288903,12889
1129202,11292
1385103,13851
1052904,10529
1110902,11109
1055803,10558
1129202,11292
1129202,11292
1129202,11292
1325602,13256
1129202,11292
1032504,10325
1106603,11066
1014003,10140
1019403,10194
1110902,11109
1110902,11109
1112203,11122
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1141304,11413
1163805,11638
1171102,11711
1192102,11921
1192102,11921
1192102,11921
1192102,11921
1209402,12094
1233904,12339
1319801,13198
1324402,13244
1324402,13244
1324402,13244
1379604,13796
1129202,11292
1129202,11292
1457604,14576
1119302,11193
1129202,11292
1059904,10599
1123302,11233
1032504,10325
1032504,10325
1042302,10423
1142304,11423
1486903,14869
1129202,11292
1129202,11292
1129202,11292
1150303,11503
1129202,11292
1037203,10372
1110902,11109
1080003,10800
1430702,14307
1479201,14792
1129202,11292
1239102,12391
1129202,11292
1324402,13244
1148102,11481
1220603,12206
1517702,15177
1129202,11292
1129202,11292
1129202,11292
1457002,14570
1129202,11292
1123302,11233
1530402,15304
1074702,10747
1289205,12892
1129202,11292
1129202,11292
1129202,11292
1299204,12992
1055803,10558
1537002,15370
1129202,11292
1150303,11503
1379604,13796
1402702,14027
1129202,11292
1129202,11292
1046602,10466
1408102,14081
1129202,11292
1244102,12441
1131502,11315
1109702,11097
1079204,10792
1129202,11292
1457002,14570
1423703,14237
1501603,15016
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1198603,11986
1129202,11292
1129804,11298
1129202,11292
1129202,11292
1129202,11292
1110902,11109
1141304,11413
1112203,11122
1350202,13502
1129202,11292
1059004,10590
1226603,12266
1350202,13502
1129202,11292
1486903,14869
1227803,12278
1129202,11292
1320402,13204
1405702,14057
1198603,11986
1410002,14100
1334102,13341
1129202,11292
1129202,11292
1129202,11292
1477102,14771
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1320402,13204
1072102,10721
1129202,11292
1490803,14908
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1405702,14057
1129202,11292
1129202,11292
1129202,11292
1289605,12896
1467903,14679
1129202,11292
1481402,14814
1027203,10272
1059004,10590
1393004,13930
1059004,10590
1171902,11719
1129202,11292
1129202,11292
1129202,11292
1428803,14288
1129202,11292
1059004,10590
1389101,13891
1014003,10140
1129202,11292
1129202,11292
1129202,11292
1238902,12389
1129202,11292
1142304,11423
1129202,11292
1062002,10620
1192102,11921
1591902,15919
1289605,12896
1129202,11292
1129202,11292
1129202,11292
1290203,12902
1129202,11292
1385103,13851
1192102,11921
1156303,11563
1128302,11283
1129202,11292
1537602,15376
1483104,14831
1350202,13502
1129202,11292
1129202,11292
1393004,13930
1319801,13198
1119302,11193
1027903,10279
1129202,11292
1350202,13502
1129202,11292
1389101,13891
1129202,11292
1329604,13296
1110902,11109
1227803,12278
1289205,12892
1129202,11292
1022103,10221
1141304,11413
1336703,13367
1289205,12892
1129202,11292
1084903,10849
1129202,11292
1410702,14107
1188402,11884
1129202,11292
1129202,11292
1129202,11292
1468303,14683
1129202,11292
1095002,10950
1129202,11292
1129202,11292
1349503,13495
1348702,13487
1129804,11298
1473003,14730
1129202,11292
1129202,11292
1104203,11042
1387102,13871
1129202,11292
1014003,10140
1393004,13930
1467903,14679
1484304,14843
1105703,11057
1396403,13964
1129202,11292
1428803,14288
1129202,11292
1320002,13200
1154003,11540
1129202,11292
1201203,12012
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1315803,13158
1109202,11092
1129202,11292
1129202,11292
1129804,11298
1129202,11292
1463502,14635
1129202,11292
1100303,11003
1348702,13487
1177502,11775
1129202,11292
1129202,11292
1064301,10643
1129202,11292
1129202,11292
1171102,11711
1129202,11292
1129202,11292
1233904,12339
1055803,10558
1535602,15356
1501603,15016
1129202,11292
1393004,13930
1129202,11292
1129202,11292
1209402,12094
1129202,11292
1350202,13502
1453402,14534
1558202,15582
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1348702,13487
1129202,11292
1129202,11292
1129202,11292
1295302,12953
1129202,11292
1129202,11292
1104203,11042
1129202,11292
1537002,15370
1289902,12899
1129202,11292
1129202,11292
1129202,11292
1541203,15412
1129202,11292
1129202,11292
1039705,10397
1082104,10821
1452401,14524
1129202,11292
1336703,13367
1129202,11292
1105703,11057
1129202,11292
1129202,11292
1092502,10925
1478302,14783
1129202,11292
1069302,10693
1027203,10272
1154003,11540
1129202,11292
1501603,15016
1119302,11193
1129202,11292
1129202,11292
1591902,15919
1095002,10950
1129202,11292
1100303,11003
1146802,11468
1129202,11292
1484304,14843
1144703,11447
1129202,11292
1129202,11292
1129202,11292
1298202,12982
1129202,11292
1129202,11292
1226603,12266
1142304,11423
1129202,11292
1129202,11292
1037203,10372
1129202,11292
1200302,12003
1299204,12992
1106603,11066
1129202,11292
1324402,13244
1468303,14683
1129202,11292
1129202,11292
1225502,12255
1110902,11109
1129202,11292
1251902,12519
1129202,11292
1537602,15376
1487704,14877
1350202,13502
1037203,10372
1238902,12389
1164802,11648
1477102,14771
1350202,13502
1110902,11109
1129202,11292
1419304,14193
1110902,11109
1080003,10800
1129202,11292
1129202,11292
1469802,14698
1110902,11109
1486903,14869
1110902,11109
1288903,12889
1129202,11292
1474703,14747
1481402,14814
1192102,11921
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1474703,14747
1541203,15412
1537002,15370
1150303,11503
1129202,11292
1226603,12266
1350202,13502
1129202,11292
1477102,14771
1109702,11097
1142304,11423
1393102,13931
1319801,13198
1227803,12278
1478302,14783
1129202,11292
1289205,12892
1209402,12094
1129202,11292
1324402,13244
1037203,10372
1129202,11292
1295403,12954
1110902,11109
1129202,11292
1163703,11637
1129202,11292
1288802,12888
1410702,14107
1129202,11292
1129202,11292
1215603,12156
1129202,11292
1129202,11292
1039705,10397
1129202,11292
1110902,11109
1192102,11921
1110902,11109
1315803,13158
1288903,12889
1221702,12217
1129202,11292
1129202,11292
1129202,11292
1129202,11292
1046602,10466
1129202,11292
1126702,11267
1468303,14683
1473003,14730
1129202,11292
1129804,11298
1037203,10372
1129202,11292
1129202,11292
1110902,11109
1129202,11292
1129202,11292
1129202,11292
1289205,12892
1129202,11292
1129202,11292
1537002,15370
1014003,10140
1454302,14543
1537002,15370
1129202,11292
1129202,11292
1336703,13367
1129202,11292
1129202,11292
1127803,11278
1129202,11292
1226603,12266
1084903,10849
1129202,11292
1385103,13851
1129202,11292
1591902,15919
1129202,11292
1129202,11292
1302902,13029
1426204,14262
1106603,11066
1014003,10140
1129202,11292
1315803,13158
1129202,11292
1129804,11298
1119302,11193
1154003,11540
1473003,14730
1129202,11292
1129202,11292
1062702,10627
1129202,11292
1042302,10423
1084903,10849
1348602,13486
1129202,11292
1326403,13264
1131502,11315
1387102,13871
1324402,13244
1410702,14107
1350202,13502
1129202,11292
1129202,11292
1110902,11109
1129202,11292
1129202,11292
1037203,10372
1129202,11292
1059904,10599
1129202,11292
1129202,11292
1129202,11292
1226603,12266
1110902,11109
1160302,11603
1129202,11292
1199502,11995
1412002,14120
1129202,11292
1119302,11193
1129202,11292
1129804,11298
1059904,10599
1348602,13486
1348602,13486
1129202,11292
1042302,10423
1129202,11292
1129202,11292
1478302,14783
1042302,10423
1387102,13871
1129202,11292
1129202,11292
1445702,14457
1039705,10397
1129202,11292
1014003,10140
1129202,11292
1129202,11292
1062002,10620
1112203,11122
1141304,11413
1501603,15016
1468902,14689
1186502,11865
1129202,11292
1468902,14689
