PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,AIRLINE_ID,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,567627,0,455,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,10620,1062002,30620,BIL,"Billings, MT",MT,30,Montana,84,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,1,G
0,18239,5737,1026,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2017,2,6,3,G
0,1175210,26302,455,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10620,1062002,30620,BIL,"Billings, MT",MT,30,Montana,84,2017,2,6,1,G
0,153735,0,850,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,2017,2,6,2,G
0,32891,3787,628,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2017,2,6,2,G
0,856546,0,819,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91,2017,2,6,2,G
0,552896,0,804,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14570,1457002,34570,RNO,"Reno, NV",NV,32,Nevada,85,2017,2,6,2,G
0,2649508,283060,1024,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14730,1473003,33044,SDF,"Louisville, KY",KY,21,Kentucky,52,2017,2,6,3,G
0,206300,0,391,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2017,2,6,1,G
0,1469756,0,819,5X,19917,19917,6910,D,5X,United Parcel Service,3,3,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
