unique_carrier,airline_id,unique_carrier_entity,carrier_name,carrier_group,carrier_group_new,carrier_region
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
5X,19917,6910,United Parcel Service,3,3,D
EM,20263,6299,Empire Airlines Inc.,1,5,D
EM,20263,6299,Empire Airlines Inc.,1,5,D
EM,20263,6299,Empire Airlines Inc.,1,5,D
AJQ,20354,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,D
AJQ,20354,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,D
AJQ,20354,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,D
AMQ,20201,6055,Ameristar Air Cargo,1,4,D
AMQ,20201,6055,Ameristar Air Cargo,1,4,D
G4,20368,6035,Allegiant Air,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
GL,20402,6690,Miami Air International,2,2,D
GL,20402,6690,Miami Air International,2,2,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,10877,United Air Lines Inc.,3,3,P
27Q,21652,1194,"Jet Aviation Flight Services, Inc.",1,1,D
27Q,21652,1194,"Jet Aviation Flight Services, Inc.",1,1,D
FX,20107,6200,Federal Express Corporation,3,3,D
