market_id,name,abbreviation,world_area_code
30325,"Denver, CO",DEN,82
30559,"Seattle, WA",BFI,93
30620,"Billings, MT",BIL,84
32575,"Burbank, CA",BUR,91
32211,"Las Vegas, NV",LAS,85
32575,"Ontario, CA",ONT,91
34570,"Reno, NV",RNO,85
33044,"Louisville, KY",SDF,52
34614,"Salt Lake City, UT",SLC,87
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30285,"Durango, CO",DRO,82
30140,"Albuquerque, NM",ABQ,86
30285,"Durango, CO",DRO,82
32544,"CONCORD, NC",USA,36
30325,"Denver, CO",DEN,82
31503,"Eagle, CO",EGE,82
30325,"Denver, CO",DEN,82
31871,"Greer, SC",GSP,37
30189,"Colorado Springs, CO",COS,82
33570,"San Diego, CA",SAN,91
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
31295,"Detroit, MI",YIP,43
30325,"Denver, CO",DEN,82
32448,"Jackson/Vicksburg, MS",JAN,53
32467,"Miami, FL",MIA,33
34576,"Rochester, NY",ROC,22
30325,"Denver, CO",DEN,82
32457,"San Francisco, CA",SFO,91
30977,"Chicago, IL",ORD,41
30325,"Denver, CO",APA,82
30285,"Durango, CO",DRO,82
30325,"Denver, CO",DEN,82
31921,"Grand Junction, CO",GJT,82
33244,"Memphis, TN",MEM,54
34699,"Hayden, CO",HDN,82
30194,"Dallas/Fort Worth, TX",AFW,74
30620,"Billings, MT",BIL,84
30194,"Dallas/Fort Worth, TX",DFW,74
30615,"El Paso, TX",ELP,74
32337,"Indianapolis, IN",IND,42
33198,"Kansas City, MO",MCI,64
33244,"Memphis, TN",MEM,54
33495,"New Orleans, LA",MSY,72
32457,"Oakland, CA",OAK,91
34614,"Salt Lake City, UT",SLC,87
30436,"Tucson, AZ",TUS,81
30140,"Albuquerque, NM",ABQ,86
31921,"Grand Junction, CO",GJT,82
30285,"Durango, CO",DRO,82
30189,"Colorado Springs, CO",COS,82
31638,"Fresno, CA",FAT,91
33244,"Memphis, TN",MEM,54
34614,"Salt Lake City, UT",SLC,87
31122,"Casper, WY",CPR,88
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30189,"Colorado Springs, CO",COS,82
30325,"Denver, CO",DEN,82
31921,"Grand Junction, CO",GJT,82
30325,"Denver, CO",DEN,82
32211,"Las Vegas, NV",LAS,85
34275,"Pontiac, MI",PTK,43
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
33105,"Cincinnati, OH",CVG,52
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30423,"Austin, TX",AUS,74
32457,"San Jose, CA",SJC,91
30325,"Denver, CO",APA,82
30325,"Denver, CO",APA,82
30372,"Aspen, CO",ASE,82
31714,"Fort Myers, FL",RSW,33
33570,"San Diego, CA",SAN,91
30279,"Amarillo, TX",AMA,74
32575,"Burbank, CA",BUR,91
31703,"Islip, NY",ISP,22
32575,"Burbank, CA",BUR,91
30325,"Denver, CO",DEN,82
31503,"Eagle, CO",EGE,82
30325,"Denver, CO",DEN,82
30372,"Aspen, CO",ASE,82
30397,"Atlanta, GA",ATL,34
30325,"Denver, CO",DEN,82
30928,"Wichita, KS",ICT,62
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
31267,"Dayton, OH",DAY,44
31233,"Cheyenne, WY",CYS,88
35177,"Telluride, CO",TEX,82
30325,"Denver, CO",DEN,82
33342,"Milwaukee, WI",MKE,45
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
31921,"Grand Junction, CO",GJT,82
33158,"Midland/Odessa, TX",MAF,74
31454,"Orlando, FL",MCO,33
32896,"Lubbock, TX",LBB,74
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
32457,"Oakland, CA",OAK,91
31123,"St. Louis, MO",STL,64
30189,"Colorado Springs, CO",COS,82
30325,"Denver, CO",DEN,82
34027,"West Palm Beach/Palm Beach, FL",PBI,33
30721,"Providence, RI",PVD,15
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30928,"Wichita, KS",ICT,62
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
34081,"Page, AZ",PGA,81
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
31503,"Eagle, CO",EGE,82
30325,"Denver, CO",DEN,82
30409,"Watertown, SD",ATY,67
34237,"Prescott, AZ",PRC,81
31122,"Casper, WY",CPR,88
30325,"Denver, CO",DEN,82
31315,"Dickinson, ND",DIK,66
33502,"Montrose/Delta, CO",MTJ,82
30285,"Durango, CO",DRO,82
34614,"Salt Lake City, UT",SLC,87
31097,"Cody, WY",COD,88
30436,"Tucson, AZ",TUS,81
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30194,"Dallas/Fort Worth, TX",DFW,74
34819,"San Juan, PR",SJU,3
33502,"Montrose/Delta, CO",MTJ,82
32012,"Gunnison, CO",GUC,82
30590,"Bullhead City, AZ",IFP,81
34614,"Salt Lake City, UT",SLC,87
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
34057,"Portland, OR",PDX,92
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
32600,"Little Rock, AR",LIT,71
30559,"Seattle, WA",SEA,93
31423,"Des Moines, IA",DSM,61
30325,"Denver, CO",DEN,82
30466,"Phoenix, AZ",PHX,81
30397,"Atlanta, GA",ATL,34
32457,"Oakland, CA",OAK,91
30792,"Buffalo, NY",BUF,22
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
30977,"Chicago, IL",ORD,41
30325,"Denver, CO",DEN,82
31703,"New York, NY",LGA,22
32575,"Santa Ana, CA",SNA,91
32441,"Jackson, WY",JAC,88
30423,"Austin, TX",AUS,74
34653,"Tulsa, OK",TUL,73
30647,"Cleveland, OH",CLE,44
35041,"Sun Valley/Hailey/Ketchum, ID",SUN,83
32389,"Williston, ND",ISN,66
30325,"Denver, CO",DEN,82
33570,"San Diego, CA",SAN,91
30721,"Boston, MA",BOS,13
31481,"Panama City, FL",ECP,33
30325,"Denver, CO",DEN,82
30325,"Denver, CO",DEN,82
34819,"San Juan, PR",SJU,3
30325,"Denver, CO",DEN,82
