fips,abbreviation,name
30,MT,Montana
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
6,CA,California
17,IL,Illinois
21,KY,Kentucky
49,UT,Utah
35,NM,New Mexico
8,CO,Colorado
35,NM,New Mexico
8,CO,Colorado
8,CO,Colorado
37,NC,North Carolina
13,GA,Georgia
8,CO,Colorado
32,NV,Nevada
8,CO,Colorado
40,OK,Oklahoma
9,CT,Connecticut
8,CO,Colorado
31,NE,Nebraska
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
39,OH,Ohio
35,NM,New Mexico
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
56,WY,Wyoming
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
6,CA,California
35,NM,New Mexico
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
18,IN,Indiana
29,MO,Missouri
47,TN,Tennessee
47,TN,Tennessee
47,TN,Tennessee
6,CA,California
8,CO,Colorado
8,CO,Colorado
36,NY,New York
21,KY,Kentucky
8,CO,Colorado
1,AL,Alabama
56,WY,Wyoming
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
19,IA,Iowa
49,UT,Utah
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
6,CA,California
44,RI,Rhode Island
48,TX,Texas
8,CO,Colorado
36,NY,New York
8,CO,Colorado
47,TN,Tennessee
12,FL,Florida
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
32,NV,Nevada
8,CO,Colorado
56,WY,Wyoming
12,FL,Florida
48,TX,Texas
6,CA,California
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
5,AR,Arkansas
31,NE,Nebraska
40,OK,Oklahoma
8,CO,Colorado
8,CO,Colorado
6,CA,California
12,FL,Florida
8,CO,Colorado
8,CO,Colorado
4,AZ,Arizona
4,AZ,Arizona
8,CO,Colorado
56,WY,Wyoming
38,ND,North Dakota
56,WY,Wyoming
36,NY,New York
8,CO,Colorado
32,NV,Nevada
4,AZ,Arizona
29,MO,Missouri
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
26,MI,Michigan
8,CO,Colorado
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
56,WY,Wyoming
8,CO,Colorado
8,CO,Colorado
4,AZ,Arizona
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
49,UT,Utah
20,KS,Kansas
8,CO,Colorado
12,FL,Florida
41,OR,Oregon
26,MI,Michigan
42,PA,Pennsylvania
29,MO,Missouri
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
6,CA,California
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
12,FL,Florida
25,MA,Massachusetts
8,CO,Colorado
6,CA,California
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
41,OR,Oregon
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
6,CA,California
8,CO,Colorado
22,LA,Louisiana
8,CO,Colorado
4,AZ,Arizona
17,IL,Illinois
4,AZ,Arizona
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
4,AZ,Arizona
6,CA,California
35,NM,New Mexico
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
38,ND,North Dakota
8,CO,Colorado
19,IA,Iowa
8,CO,Colorado
30,MT,Montana
8,CO,Colorado
5,AR,Arkansas
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
20,KS,Kansas
8,CO,Colorado
40,OK,Oklahoma
8,CO,Colorado
49,UT,Utah
20,KS,Kansas
8,CO,Colorado
4,AZ,Arizona
6,CA,California
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
17,IL,Illinois
29,MO,Missouri
21,KY,Kentucky
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
6,CA,California
8,CO,Colorado
33,NH,New Hampshire
8,CO,Colorado
20,KS,Kansas
6,CA,California
8,CO,Colorado
31,NE,Nebraska
8,CO,Colorado
17,IL,Illinois
6,CA,California
8,CO,Colorado
30,MT,Montana
8,CO,Colorado
4,AZ,Arizona
53,WA,Washington
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
22,LA,Louisiana
27,MN,Minnesota
48,TX,Texas
21,KY,Kentucky
8,CO,Colorado
8,CO,Colorado
39,OH,Ohio
31,NE,Nebraska
8,CO,Colorado
35,NM,New Mexico
17,IL,Illinois
6,CA,California
72,PR,Puerto Rico
37,NC,North Carolina
41,OR,Oregon
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
31,NE,Nebraska
48,TX,Texas
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
49,UT,Utah
8,CO,Colorado
8,CO,Colorado
48,TX,Texas
8,CO,Colorado
12,FL,Florida
8,CO,Colorado
19,IA,Iowa
27,MN,Minnesota
46,SD,South Dakota
8,CO,Colorado
8,CO,Colorado
29,MO,Missouri
8,CO,Colorado
8,CO,Colorado
35,NM,New Mexico
8,CO,Colorado
